incident_id,date_of_incident,incident_type,victim_identity,location,description,article_url,news_source,review_status,submitted_at
INC-20260125162958,,murder,unknown,"Maitland, New South Wales","The murdered pharmacist Jessica Patel died after a sad string of callous and cruel abuse, as revealed in a review into her death.",,,pending,2026-01-25T16:30:02.868086
INC-20260125163002,,assault,gay,Grindr meetup in Sydney,Hate crime charges were added in a gruesome attack on a gay teen during a Grindr meetup in Sydney. The victim suffered serious injuries in the assault.,,,pending,2026-01-25T16:30:06.382695
INC-20260125163006,,hate_speech,general_lgbtiq,Grampians,"A Melbourne neo-Nazi group, National Socialist Network, was seen in the Grampians spreading hate speech.",,,pending,2026-01-25T16:30:10.328792
INC-20260125163010,,hate_speech,general_lgbtiq,Grampians,"Melbourne neo-Nazi group National Socialist Network seen in Grampians uncovered, engaging in hate speech targeting the LGBTIQ+ community.",,,pending,2026-01-25T16:30:13.675726
INC-20260125163013,,assault,First Nations woman and her daughter,"Perth, Western Australia",The Greens have responded to sickening reports of a violent assault by a man with a swastika on a First Nations woman and her daughter in Western Australia.,,,pending,2026-01-25T16:30:17.183181
INC-20260125163017,,assault,Sikh,Sydney,Sikh students attacked in Sydney as tensions over ongoing farmers protests in India spread to Australia,,,pending,2026-01-25T16:30:20.507768
INC-20260125163020,,assault,gay,"Oxford Street, Darlinghurst",RuPaul Drag Race Down Under star Coco Jumbo intervened to save a man from a vicious gay bashing incident on Oxford Street in Darlinghurst.,,,pending,2026-01-25T16:30:24.027006
INC-20260125163024,,assault,unknown,Sydney,"A group of Sikh men were attacked in Sydney, Australia, over alleged support for farmers' protests. CCTV footage shows them fleeing a gang who smashed up their car with bats and hammers while they were still inside.",,,pending,2026-01-25T16:30:27.445658
INC-20260125163027,,assault,Sikhs,Sydney,A group of Sikhs was attacked in Sydney in an apparent hate crime related to tensions over Indian farm laws in Australia.,,,pending,2026-01-25T16:30:30.944093
INC-20260125163030,,assault,transgender,Wagga Wagga,"Trans woman Mhelody Bruno was tragically killed in Wagga Wagga, Australia. She was found dead in a unit and had suffered severe head injuries. The justice system failed to deliver justice for her death.",,,pending,2026-01-25T16:30:34.292839
INC-20260125163034,,vandalism,unknown,PR queen office in Sydney CBD,A socialite has been charged for spraying derogatory language on the office of a PR queen in Sydney CBD. The graffiti included offensive language targeting the PR queen.,,,pending,2026-01-25T16:30:37.861182
INC-20260125163037,,assault,gay,"Oxford Street, Sydney","The victim was assaulted after Mardi Gras on Oxford Street in Sydney. A red car screeched to a halt next to the victim and their friends, and they were ambushed.",,,pending,2026-01-25T16:30:42.747135
INC-20260125163042,,threat,gay,"Hobart, Tasmania","A gay man received death threats over plans to paint his house, prompting the local community to come together and paint it rainbow in support.",,,pending,2026-01-25T16:30:46.487010
INC-20260125163046,,assault,gay,Fraser Coast,"Ian Roberts, a former rugby league player, revealed that a brutal gay bashing incident upended his life.",,,pending,2026-01-25T16:30:49.987393
INC-20260125163049,,vandalism,general_lgbtiq,Brisbane,A train carriage in Brisbane has been vandalised with a Nazi slogan amid claims anti-Semitism is rising in the community.,,,pending,2026-01-25T16:30:54.016390
INC-20260125163054,,vandalism,unknown,Brooklyn,"A statue of George Floyd was vandalized in Brooklyn, with police investigating it as a hate crime.",,,pending,2026-01-25T16:30:58.240398
INC-20260125163058,,murder,gay,Sydney,"Police are offering a $1 million reward for information on the murder of Raymond Keam, a gay man who was killed in Sydney. The case is being investigated as a hate crime.",,,pending,2026-01-25T16:31:02.237647
INC-20260125163102,,hate_speech,transgender,Melbourne,"Sam Newman mocked the transgender community in a lewd tirade, sparking controversy and backlash.",,,pending,2026-01-25T16:31:05.590656
INC-20260125163105,,assault,woman,"Sydney, NSW",Men pretended to be gay to lure and rape a woman,,,pending,2026-01-25T16:31:08.989006
INC-20260125163108,,assault,Jewish,"Brisbane, Queensland",A 48-year-old Jewish man was attacked in Australia while walking with his son to synagogue. The victim described the assailant's eyes as filled with hate towards him.,,,pending,2026-01-25T16:31:12.819155
INC-20260125163112,,assault,unknown,"Stonewall Hotel, Sydney",A Sydney hairdresser pleaded guilty to slapping a security guard at Stonewall Hotel and was sentenced to a two-year conditional release order without conviction.,,,pending,2026-01-25T16:31:16.293185
INC-20260125163116,,vandalism,general_lgbtiq,"Caulfield, Melbourne","An Australian synagogue was targeted with a Nazi flag on Shabbat, causing distress and concern within the LGBTIQ+ community.",,,pending,2026-01-25T16:31:19.776899
INC-20260125163119,,assault,Sikhs,"Harris Park, Sydney",Vishal Jood was arrested by New South Wales police in April after an investigation revealed his alleged connection to a series of targeted attacks on Sikhs.,,,pending,2026-01-25T16:31:23.156361
INC-20260125163123,,assault,gay,Birmingham,A 38-year-old man was attacked in Birmingham for holding hands with another man.,,,pending,2026-01-25T16:31:26.649577
INC-20260125163126,,violence,gay men,Sydney CBD,Investigation revealed evil and violence directed at gay men across Sydney CBD.,,,pending,2026-01-25T16:31:30.026060
INC-20260125163130,,murder,gay,Sydney,"Between 1987 and 1993, up to 20 gay men were murdered across Sydney, many of which were dismissed as suicides or deaths by misadventure.",,,pending,2026-01-25T16:31:33.548907
INC-20260125163133,,assault,transgender,Selangor,Transgender entrepreneur Nur Sajat Kamaruzzaman alleges that she was touched on her breasts and private parts while being arrested by Selangor authorities.,,,pending,2026-01-25T16:31:37.053876
INC-20260125163137,,vandalism,LGBTQI+,Adelaide's Rainbow Pride Walk,"Vandals defaced Adelaide's Rainbow Pride Walk with homophobic graffiti, sparking anger within the LGBTQI+ communities in Adelaide.",,,pending,2026-01-25T16:31:40.609551
INC-20260125163140,,vandalism,general_lgbtiq,Queensland Labor MP office window,A swastika was painted on the window of a Queensland Labor MP office days after it was smashed by an anti-vaxxer.,,,pending,2026-01-25T16:31:44.075316
INC-20260125163144,,murder,gay,Sydney,"The article discusses the dark secret behind 23 gay hate murders in Sydney, with a killer making a shock guilty plea.",,,pending,2026-01-25T16:31:47.413947
INC-20260125163147,,murder,gay,cliff in Australia,"An Australian man pleaded guilty to an anti-gay hate crime in the murder of an American who plunged from a cliff in 1988. The perpetrator, Scott White, admitted to the hate crime in court.",,,pending,2026-01-25T16:31:51.195013
INC-20260125163151,,killing,gay,Sydney,A Sydney man admitted to killing a gay American mathematician in 1988.,,,pending,2026-01-25T16:31:54.559739
INC-20260125163154,,hate_speech,gay,"AAMI Park, Melbourne",Professional footballer Josh Cavallo called out homophobic abuse directed at him during an A-League match between Adelaide United FC and Melbourne Victory at AAMI Park.,,,pending,2026-01-25T16:31:58.069467
INC-20260125163158,,assault,gay,London,"Harry Batt, a bio-medical student was waiting for a bus home after a night of partying at a popular London gay nightclub Heaven, when a woman launched an unprovoked attack.",,,pending,2026-01-25T16:32:01.632632
INC-20260125163201,,assault,gay,"Moore Park, Sydney","Neil Armfield, an Order Of Australia awardee and Adelaide Festival co-director, revealed that he almost died in a gay hate attack by a gang of five youth in Sydney's Moore Park in 1986.",,,pending,2026-01-25T16:32:05.904837
INC-20260125163205,,assault,LGBT,University of Cambridge,"Four University of Cambridge students were attacked, putting one in the hospital, in an apparent homophobic assault.",,,pending,2026-01-25T16:32:09.429023
INC-20260125163209,,assault,gay,"Ashwood, Melbourne",Monash City council passed a motion condemning homophobia after Victoria Police arrested six teenagers for a series of gay bashing attacks in the parklands in Ashwood.,,,pending,2026-01-25T16:32:12.838279
INC-20260125163212,,assault,gay,City of Sydney,Two teenage boys were arrested for allegedly carrying out brazen homophobic attacks in the City of Sydney. The gay victims were egged and bashed.,,,pending,2026-01-25T16:32:16.244478
INC-20260125163216,,assault,gay,"Ashwood, Melbourne",Six boys aged between 14 and 19 were arrested for allegedly carrying out homophobic attacks on gay men after luring them on gay dating apps to parklands around the suburb of Ashwood in Melbourne.,,,pending,2026-01-25T16:32:19.602015
INC-20260125163219,,assault,transgender,Melbourne,"Melbourne-based trans woman Ash Jackson, who had gone public with her decision to leave the anti-vax movement, was the victim of a trans hate attack. The offender is known to be violent to other women.",,,pending,2026-01-25T16:32:23.066085
INC-20260125163223,,harassment,gay,West Midlands,Homophobic teens hurled abuse at UK gay couple Kieran (24) and Steven Douglas-Lane (33) and threw rocks at their house. The West Midlands police are investigating the incident as a hate crime.,,,pending,2026-01-25T16:32:26.885534
INC-20260125163226,,vandalism,Jewish,"Kooyong, Melbourne","Josh Frydenberg's election signs were defaced with Nazi symbols in the Kooyong electorate in Melbourne. Mr. Frydenberg, who was born in Australia to Jewish parents, expressed concern over the vandalism posing a threat to the community.",,,pending,2026-01-25T16:32:30.199055
INC-20260125163230,,assault,transgender,Melbourne nightclub,Greens councillor Anab Mohamud accused of assaulting a transgender woman outside a Melbourne nightclub.,,,pending,2026-01-25T16:32:33.751984
INC-20260125163233,,hate_speech,general_lgbtiq,Sydney,Labor frontbencher Tanya Plibersek received a sickening note in her letterbox during the Federal election campaign in 2022.,,,pending,2026-01-25T16:32:37.265467
INC-20260125163237,,threat,general_lgbtiq,Warringah,"Warringah Liberal candidate Katherine Deves received a death threat for her views on trans athletes, with the perpetrator telling her she deserves to die.",,,pending,2026-01-25T16:32:41.404957
INC-20260125163241,,threat,transgender,Warringah,Warringah Liberal candidate Katherine Deves received death and rape threats for her transgender views.,,,pending,2026-01-25T16:32:45.078531
INC-20260125163245,,vandalism,general_lgbtiq,"St Kilda, Melbourne","Offensive graffiti was found scrawled on the walls of the Victorian Pride Centre, the first purpose-built and second largest centre for the LGBTQI community in Australia.",,,pending,2026-01-25T16:32:48.556323
INC-20260125163248,,murder,gay,Sydney,A Sydney man was sentenced to 12 years in prison for the murder of a gay American in 1988.,,,pending,2026-01-25T16:32:52.065579
INC-20260125163252,,murder,unknown,Newtown,The article discusses the tragic murder of 19 children in Newtown. The specific details of the incident are not provided in the article.,,,pending,2026-01-25T16:32:55.834391
INC-20260125163255,,assault,gay,"Oxford Street, Darlinghurst",A gay man was physically assaulted by a group of individuals while walking on Oxford Street in Darlinghurst. The attackers used homophobic slurs during the assault.,,,pending,2026-01-25T16:32:59.168763
INC-20260125163259,,harassment,LGBTIQ+,"Shrine of Remembrance, Melbourne","Shrine of Remembrance staff faced abuse, hate, and threats over plans to light up the monument's colonnades in rainbow colours, reflecting the discrimination experienced by the LGBTIQ+ community.",,,pending,2026-01-25T16:33:02.646052
INC-20260125163302,,assault,gay,"Oxford Street, Darlinghurst",A gay man was brutally attacked by five thugs outside Universal nightclub on Oxford Street in Darlinghurst.,,,pending,2026-01-25T16:33:05.911684
INC-20260125163305,,assault,gay,"Oxford Street, Darlinghurst","A gay artist was brutally attacked in the queer neighborhood of Oxford Street, Darlinghurst. The victim suffered serious injuries.",,,pending,2026-01-25T16:33:09.335134
INC-20260125163309,,assault,gay,"Oxford Street, Sydney","Sydney-based gay artist Aaron was beaten unconscious by five men while walking down Oxford Street, Sydney's iconic gay neighbourhood.",,,pending,2026-01-25T16:33:12.731490
INC-20260125163312,,hate_speech,general_lgbtiq,"Glen Waverley, Melbourne",Far-right extremist Neil Erikson hurled homophobic abuse at church-goers in a LGBTQI friendly church in Melbourne in 2019. His jail term was reduced to 40 days.,,,pending,2026-01-25T16:33:16.157761
INC-20260125163316,,threat,general_lgbtiq,Serbia,A Serbian Orthodox church bishop has faced criticism for appearing to target the country's out gay Prime Minister and encouraging armed attacks on EuroPride 2022 participants.,,,pending,2026-01-25T16:33:19.604136
INC-20260125163319,,assault,gay,Canberra,A 22-year-old Canberra youth has been arrested and charged with drugging and sexually assaulting a man he met via the gay dating app Grindr.,,,pending,2026-01-25T16:33:22.997136
INC-20260125163323,,kidnapping|murder,gay,"Lafayette, Louisiana",A 21-year-old man admitted to kidnapping a gay man with the intention of murdering and dismembering him as part of a scheme to target Grindr users. The perpetrator was a fan of American serial killer Jeffrey Dahmer.,,,pending,2026-01-25T16:33:26.339099
INC-20260125163326,,murder,gay,Sydney Park,"Stanley Early, a 76-year-old Melbourne man, was granted bail after being charged with the suspected 'gay hate' murder of Raymond Keam in Sydney Park in 1987.",,,pending,2026-01-25T16:33:29.764717
INC-20260125163329,,assault,gay,NSW South Coast,"Three young men were sentenced to prison for the aggravated kidnapping of 56-year-old real estate agent Peter Keeley, who was lured on the gay dating app Grindr. Keeley's body was found in bushlands on the NSW South Coast in February 2020.",,,pending,2026-01-25T16:33:33.126238
INC-20260125163333,,assault,gay,Sydney,A special Commission of inquiry into historic anti-gay and anti-trans hate crimes in NSW is seeking information on hate crimes that occurred in Sydney between 1970-2010.,,,pending,2026-01-25T16:33:36.528998
INC-20260125163336,,murder,unknown,"Geraldton, Western Australia",The murder of an Indigenous teenager in Western Australia has brought despair and a sense of deja vu to the community.,,,pending,2026-01-25T16:33:39.981276
INC-20260125163339,,threat,gay,Sydney,A Sydney real estate agent was threatened by a man after the man abused his brother with gay slurs at a cafe.,,,pending,2026-01-25T16:33:43.490112
INC-20260125163343,,assault,gay,Darlinghurst,"An inquiry has begun into a suspected gay hate crime in Darlinghurst where a gay man was physically assaulted on January 15, 2022.",,,pending,2026-01-25T16:33:46.977450
INC-20260125163346,,unsolved deaths,gay men and trans women,Sydney and NSW,The Special Commission of Inquiry into unsolved anti-LGBTQI hate crime deaths in Sydney and NSW between 1970 and 2010 is scheduled to start hearing from witnesses.,,,pending,2026-01-25T16:33:50.339142
INC-20260125163350,,assault,gay,"Sydney, NSW (inquiry)",A government inquiry in New South Wales is investigating unsolved deaths resulting from gay hate crimes over four decades where police were indifferent to such violence.,,,pending,2026-01-25T16:33:53.750924
INC-20260125163353,,anti-gay killings,gay,"Sydney, NSW (inquiry)",A government probe in New South Wales is examining anti-gay hate crimes and deaths over 40 years.,,,pending,2026-01-25T16:33:57.105177
INC-20260125163357,,hate_speech,general_lgbtiq,NSW LGBTQI+ hate crimes inquiry,"The NSW LGBTQI+ hate crimes inquiry has begun, providing a last chance for truth regarding past hate crimes against the LGBTQI+ community in New South Wales.",,,pending,2026-01-25T16:34:00.453049
INC-20260125163400,,assault,LGBTIQ+,Darlinghurst,Australia is investigating hate crimes against LGBTI individuals that occurred between 1970 and 2010 in Darlinghurst. The investigation aims to shed light on past incidents of violence and discrimination.,,,pending,2026-01-25T16:34:04.264392
INC-20260125163404,,murder,LGBTQ+,"Sydney, NSW (inquiry)",Special commission of inquiry into hate crimes begins hearings after 88 men were killed between 1976 and 2000,,,pending,2026-01-25T16:34:07.634500
INC-20260125163407,,harassment,lesbian,Sydney,"Lesbians in Sydney have been targeted in a spate of hate crimes, with testimony heard by a commission investigating hate crimes against the LGBTQ+ community.",,,pending,2026-01-25T16:34:11.093880
INC-20260125163411,,harassment,transgender,"Sydney, NSW (inquiry)",The NSW inquiry into LGBTIQ hate crimes highlights the struggles faced by the trans community in their civil rights fight.,,,pending,2026-01-25T16:34:14.663865
INC-20260125163414,,threat,unknown,Sydney,A 60-year old man threatened to post images of his neighbour's Grindr hookup in every 'letterbox and lamppost' unless they turned down their music.,,,pending,2026-01-25T16:34:18.075390
INC-20260125163418,,hate crime,LGBTQI,Sydney,A lack of resources halted a 2014 reinvestigation into around 88 unsolved suspected anti-LGBTQI hate crime deaths in Sydney.,,,pending,2026-01-25T16:34:21.378015
INC-20260125163421,,murder,general_lgbtiq,Club Q,"22-year-old Anderson Lee Aldrich, the shooter at Club Q, has been charged with 305 criminal counts including murder and hate crimes after shooting dead five and injuring 19. If convicted, he faces life in prison.",,,pending,2026-01-25T16:34:24.679600
INC-20260125163424,,assault,unknown,"New South Wales, Australia","Nathan Wilson was violently attacked by strangers one evening while walking in a town in New South Wales, Australia.",,,pending,2026-01-25T16:34:28.031162
INC-20260125163428,,assault,gay,Sydney clifftop,An Australian pleaded guilty to manslaughter in the death of an American who fell from a Sydney clifftop known as a gay meeting place in 1988.,,,pending,2026-01-25T16:34:31.415997
INC-20260125163431,,killing,gay,Sydney,An Australian man pleaded guilty to killing a gay American in Sydney in 1988. The victim's sexual orientation was a factor in the crime.,,,pending,2026-01-25T16:34:34.788575
INC-20260125163434,,assault,transgender,Melbourne,Two trans women were attacked at a dance party in Melbourne with transphobic slurs hurled at them. A fundraiser has been set up to support them.,,,pending,2026-01-25T16:34:38.138295
INC-20260125163438,,assault,transgender,Melbourne CBD,"Two trans women were physically attacked, bashed, and robbed in Melbourne CBD. Police are investigating if it was a hate crime.",,,pending,2026-01-25T16:34:41.516293
INC-20260125163441,,vandalism,general_lgbtiq,"Rookwood Cemetery, Sydney",Jewish graves were vandalized with Nazi symbols in New South Wales,,,pending,2026-01-25T16:34:45.057106
INC-20260125163445,,murder,gay,Sydney,NSW police failed to arrest a retired lecturer for the death of a Sydney gay man in 1991 as they believed the 77-year-old suspect was 'too old' to have been the murderer.,,,pending,2026-01-25T16:34:48.440062
INC-20260125163448,,murder,gay,Sydney,"A special commission of inquiry is examining unsolved anti-LGBTQI hate crime deaths in Sydney between 1970 and 2010, focusing on the murders of seven gay men.",,,pending,2026-01-25T16:34:51.827703
INC-20260125163451,,vandalism,general_lgbtiq,"Wynyard station, Sydney CBD",Homophobic vandals defaced a WorldPride mural near Wynyard station in Sydney's CBD.,,,pending,2026-01-25T16:34:55.226211
INC-20260125163455,,hate_speech,general_lgbtiq,"New South Wales Parliament House, Sydney",NSW premier called Mark Latham a bigot after his vile and shameful comments targeting the LGBTIQ+ community.,,,pending,2026-01-25T16:34:58.678029
INC-20260125163458,,hate_speech,LGBTIQ+,"NSW Parliament, Sydney",One Nation NSW leader Mark Latham received backlash for a homophobic tweet deemed disgusting by many. The tweet targeted the LGBTIQ+ community.,,,pending,2026-01-25T16:35:02.205555
INC-20260125163502,,vandalism,general_lgbtiq,Brisbane,Pro-Khalistan supporters vandalised the Shree Laxmi Narayan Temple in Brisbane. Temple President Satinder Shukla reported the incident to The Australia Today.,,,pending,2026-01-25T16:35:05.588491
INC-20260125163505,,assault,transgender,Newtown,"The Trans Vengeance movement has resulted in a series of assaults in Newtown. The victims were targeted due to their transgender identity, sparking concerns about safety in the area.",,,pending,2026-01-25T16:35:09.437639
INC-20260125163509,,hate_speech,general_lgbtiq,"Bavarian Bier Cafe, Melbourne CBD","A group celebrated Hitler's birthday at Bavarian in Melbourne and performed a Hitler salute, promoting hate speech and glorifying a Nazi dictator.",,,pending,2026-01-25T16:35:12.827342
INC-20260125163512,,assault,gay,Perth,"Brutal attack on gay individuals in Perth, Australia.",,,pending,2026-01-25T16:35:16.565298
INC-20260125163516,,assault,unknown,"Howard Drive, Monsey, Ramapo, Rockland County","An Orthodox Jewish man was stabbed and slashed outside a local synagogue in Monsey, Rockland County. The victim was approached from behind early Wednesday and attacked by at least one person, leaving him with multiple wounds.",,,pending,2026-01-25T16:35:20.068340
INC-20260125163520,,assault,general_lgbtiq,"Milwaukee, Wisconsin","A 61-year-old man sprayed acid in the face of a 42-year-old US citizen of Hispanic descent, causing second-degree burns. The attacker made racist remarks and targeted the victim based on his ethnicity, leading to a hate crime charge.",,,pending,2026-01-25T16:35:23.471390
INC-20260125163523,,hate_speech,general_lgbtiq,"Oslo, Norway","Greg Johnson, a white supremacist with extreme right-wing ideology, was detained in Norway before a far-right conference. He has expressed anti-Semitic and racist views, promoting white-only states. Protesters chanted against racism at the event.",,,pending,2026-01-25T16:35:26.834165
INC-20260125163526,,discrimination,gay_man,"Chicago, Illinois, USA","The novel 'The Great Believers' by Rebecca Makkai, set in Chicago during the AIDS crisis, portrays discrimination and challenges faced by a group of gay men. The themes of love, mortality, and community highlight the struggles of individuals during a difficult period.",,,pending,2026-01-25T16:35:30.295899
INC-20260125163530,,murder,general_lgbtiq,"Melbourne, Australia","Irish woman Jill Meagher, a member of the general LGBTIQ+ community, was tragically murdered in Melbourne, Australia, by Adrian Ernest Bayley in September 2012.",,,pending,2026-01-25T16:35:33.667691
INC-20260125163533,,sexual_violence,unknown,Big Brother house,A Spanish Big Brother contestant was allegedly sexually assaulted by another contestant while she was asleep after a party. The victim discovered the assault when forced to watch the footage in the diary room.,,,pending,2026-01-25T16:35:36.991628
INC-20260125163536,,murder,gay_man,"Footscray Park, Melbourne","In 1985, a 55-year-old gay man was shot and killed in Footscray Park, Melbourne, as part of the 'poofter-bashing' epidemic in Victoria during the 80s and 90s.",,,pending,2026-01-25T16:35:40.339584
INC-20260125163540,,hate_speech,general_lgbtiq,"Kenthurst, Sydney","Israel Folau linked bushfires and drought to same-sex marriage and abortion in a sermon, targeting homosexuals and expressing discriminatory views based on religious beliefs.",,,pending,2026-01-25T16:35:43.783551
INC-20260125163543,,assault,general_lgbtiq,"Isa Town prison, Bahrain",Female human rights activist Najah Yusuf was sexually assaulted in Isa Town prison in Bahrain due to her activism against human rights violations.,,,pending,2026-01-25T16:35:47.172552
INC-20260125163547,,assault,gay_man,"Newmarket, Toronto","A man was charged with a hate-motivated assault after attacking a victim sitting in a vehicle with a rainbow logo, yelling a homophobic slur, hitting the victim, and breaking his phone before fleeing.",,,pending,2026-01-25T16:35:51.048277
INC-20260125163551,,sexual_violence,gender_diverse,Manresa,"Five men were found guilty of sexually abusing a 14-year-old girl who was in an unconscious state during a drinking session at an abandoned factory in Manresa, Spain. The court ruled that the victim, a gender-diverse individual, was unable to oppose the sexual relations due to her state.",,,pending,2026-01-25T16:35:54.465635
INC-20260125163554,,murder,gay_man,"Footscray Park, Melbourne",Robert Murley fatally attacked Joe Godfrey after claiming Godfrey made a sexual advance. The attack resulted in Godfrey's death and was fueled by Murley's intense detestation of homosexual advances.,,,pending,2026-01-25T16:35:57.885541
INC-20260125163557,,assault,gay_man,Belgrade,"Ilija Vucevic, a 39-year-old Serbian man, was attacked by two men in a restaurant in Belgrade who believed he was gay due to carrying a pink transporter dog bag. He lost three teeth and suffered cuts and bruises in the assault.",,,pending,2026-01-25T16:36:01.634458
INC-20260125163601,,discrimination,general_lgbtiq,Cook Islands,"The Cook Islands government is moving to criminalize homosexuality, with the revised Crimes Bill punishing consensual sex acts between adults with imprisonment. LGBTQI rights group Te Tiare Association has launched a petition campaign against the discriminatory language in the bill.",,,pending,2026-01-25T16:36:05.161512
INC-20260125163605,,murder,general_lgbtiq,Uganda,"Brian Wasswa, a member of the Ugandan LGBT community, was brutally attacked and murdered. He is one of four community members who have been attacked in the past three months.",,,pending,2026-01-25T16:36:08.539701
INC-20260125163608,,murder,trans_woman,"Wagga Wagga, NSW","Mhelody Polan Bruno, a 25-year-old transgender woman, was found unresponsive in a home in Wagga Wagga, allegedly choked and sexually assaulted. She later died in the hospital, sparking outrage and mourning in the LGBTQI and Filipino communities.",,,pending,2026-01-25T16:36:12.287676
INC-20260125163612,,murder,trans_woman,"Wagga Wagga, NSW","Mhelody Polan Bruno, a Filipina trans woman, was murdered through strangulation in Wagga Wagga. There are fears that she was also raped. A man was arrested and charged with manslaughter in connection to her death.",,,pending,2026-01-25T16:36:15.637653
INC-20260125163615,,discrimination,general_lgbtiq,Hungary,The Hungarian government decided to withdraw from the Eurovision Song Contest amidst increasing anti-LGBTQI rhetoric from the far-right government. The decision was criticized as discriminatory against LGBTQI individuals and was linked to the government's opposition to same-sex marriage and promotion of traditional family values.,,,pending,2026-01-25T16:36:19.018952
INC-20260125163619,,harassment,trans_woman,"Murray Bridge, South Australia","A transgender woman in public housing in Murray Bridge, South Australia, faced ongoing harassment including transphobic graffiti, vandalism, and threats of violence. The victim's car was vandalized, and hate messages were directed at her, causing fear for her safety and well-being.",,,pending,2026-01-25T16:36:22.355444
INC-20260125163622,,harassment,trans_woman,"Murray Bridge, South Australia","A transgender woman in public housing faced ongoing harassment, including transphobic graffiti, vandalism, and threats of violence. The victim reported incidents to authorities but has not been relocated to safer accommodation despite ongoing harassment.",,,pending,2026-01-25T16:36:25.795430
INC-20260125163625,,discrimination,general_lgbtiq,Perugia,"Stefano Bucaioni, a leader advocating for LGBTIQ+ rights, criticizes the Family Day movement for promoting discriminatory values against the LGBTIQ+ community. The movement's manifesto opposes existing anti-discrimination laws and seeks to limit the rights of LGBTIQ+ individuals and families.",,,pending,2026-01-25T16:36:29.231717
INC-20260125163629,,assault,general_lgbtiq,"Melbourne, Australia","A 12-year-old Jewish boy in Melbourne was surrounded by a group of nine Muslim boys in a park, physically assaulted, forced to kneel, and kiss the shoes of one of the boys. The incident resulted in humiliation and injustice for the Jewish victim.",,,pending,2026-01-25T16:36:32.950636
INC-20260125163632,,discrimination,trans_woman,"Seattle, Washington","A 33-year-old transgender woman, Paige A. Thompson, who worked as a software engineer in Seattle, was arrested in relation to a massive data breach which put over 100 million Capital One credit card applicants at risk.",,,pending,2026-01-25T16:36:36.303605
INC-20260125163636,,sexual_violence,general_lgbtiq,"Western Sydney, NSW","A man, armed with a knife, sexually assaulted and bound a 13-year-old schoolgirl in bushland after luring her into his vehicle. He made videos of himself naked with her and threatened her with a knife during the assault.",,,pending,2026-01-25T16:36:40.307516
INC-20260125163640,,murder,trans_woman,"Massachusetts, USA","Rita Hester, a transgender woman, was murdered in Massachusetts, USA, leading to the establishment of the International Transgender Day of Remembrance in 1999.",,,pending,2026-01-25T16:36:43.739725
INC-20260125163643,,murder,trans_woman,"Wagga, NSW","Mhelody Polan Bruno, a transgender woman of colour from the Philippines, was violently killed in Wagga while on holiday. The community was shocked as the only person arrested in connection with her death was released on bail, highlighting ongoing violence against trans individuals.",,,pending,2026-01-25T16:36:47.503616
INC-20260125163647,,discrimination,general_lgbtiq,Cook Islands,The Cook Islands’ representative in Miss Jewel of the Pacific plans to raise awareness of the country’s intentions to recriminalize homosexuality during the pageant.,,,pending,2026-01-25T16:36:50.881634
INC-20260125163650,,discrimination,general_lgbtiq,"Purwakarta, West Java Province, Indonesia","Acep Saepudin's father sought an Islamic exorcism to 'cure' his son of being gay in Purwakarta, Indonesia. The exorcism was performed, but it did not change Saepudin's sexual orientation, leading to frustration and depression.",,,pending,2026-01-25T16:36:54.234923
INC-20260125163654,,assault,general_lgbtiq,"International Mining and Resources Conference (IMARC), Melbourne","During a peaceful protest at the International Mining and Resources Conference, Victoria Police brutally attacked protesters with chemical foam and pepper spray. One protester, a climber, was drenched in chemical foam by police in a retaliatory attack, causing burns. The police actions were seen as excessive and targeted towards the protesters.",,,pending,2026-01-25T16:36:57.773446
INC-20260125163657,,murder,gay_man,Uganda,"The Ugandan government announced plans to reintroduce laws imposing the death penalty for homosexuality, targeting gay men. The proposed bill, known as the 'Kill the Gays' law, aims to criminalize and punish individuals involved in homosexual activities with the death sentence.",,,pending,2026-01-25T16:37:02.263747
INC-20260125163702,,hate_speech,general_lgbtiq,"Melbourne Cricket Ground, Melbourne",Fast bowler James Pattinson allegedly directed a homophobic slur at a friend and former teammate during a Sheffield Shield match at the MCG.,,,pending,2026-01-25T16:37:05.746510
INC-20260125163705,,other,general_lgbtiq,"Nantyffyllon, Maesteg","The article mentions attacks on Leanne Wood, including being labeled as homophobic, among other things, for her political stance. No specific criminal behavior targeting an LGBTIQ+ individual or community is described.",,,pending,2026-01-25T16:37:09.087280
INC-20260125163709,,harassment,gender_diverse,"New Taipei City, Taiwan","A gender-diverse junior high school student, Yang Yuncheng, died by suicide after being bullied by classmates for being effeminate, leading to fear of attending school.",,,pending,2026-01-25T16:37:12.508255
INC-20260125163712,,discrimination,general_lgbtiq,Italy,"During the 34th session of the Universal Periodic Review in Geneva, Italy received 306 recommendations from the UN, including 17 related to the human rights of LGBTI people. Recommendations ranged from legal recognition of same-sex parents to protection from discrimination and hate crimes.",,,pending,2026-01-25T16:37:15.909392
INC-20260125163715,,discrimination,general_lgbtiq,Plymouth,"Brandon, a Face of Plymouth 2019 finalist, expressed his desire to be an advocate for various marginalized groups, including the LGBT community, people of different races, and those who have faced abuse. He aimed to use his platform to raise awareness about societal injustices and support those in need.",,,pending,2026-01-25T16:37:19.311197
